run_id,n_steps,crashed,crash_onset_step,crash_type_first,crash_type_mode,unique_tools,most_common_tool,most_common_tool_count,final_budget
run_1771283133_42,8,False,,,,2,tool_check_inbox,7,
run_1771297611_42,112,True,5,looping,looping,3,tool_check_inbox,110,
run_1771279642_42,5,False,,,,2,tool_check_inbox,4,
run_1771297943_42,24,True,5,looping,looping,3,tool_check_inbox,19,
run_1771288770_42,132,True,5,looping,looping,4,tool_check_inbox,117,
run_1771297516_42,19,True,5,looping,looping,3,tool_check_inbox,16,
run_1771280810_42,7,False,,,,3,tool_check_inbox,4,
run_1771294302_42,56,True,5,looping,looping,1,tool_check_inbox,56,
run_1771291585_42,56,True,5,looping,looping,1,tool_check_inbox,56,
run_1771291614_42,56,True,5,looping,looping,2,tool_check_inbox,55,
run_1771283498_42,6,False,,,,2,tool_check_inbox,5,
run_1771281888_42,56,True,5,looping,looping,2,tool_check_inbox,55,
run_1771289277_42,15,True,5,looping,looping,2,tool_check_inbox,13,
run_1771280414_42,56,True,5,looping,looping,1,tool_check_inbox,56,
run_1771282781_42,9,False,,,,2,tool_check_inbox,7,
run_1771292408_42,52,True,16,looping,looping,4,tool_check_inbox,35,
run_1771285392_42,112,True,5,looping,looping,3,tool_check_inbox,109,
run_1771297188_42,2,False,,,,2,tool_order,1,
run_1771289020_42,56,True,5,looping,looping,2,tool_check_inbox,53,
run_1771284415_42,90,True,5,looping,looping,4,tool_check_inbox,84,
run_1771283006_42,56,True,5,looping,looping,1,tool_check_inbox,56,
run_1771295916_42,56,True,5,looping,looping,2,tool_check_inbox,55,
run_1771295615_42,56,True,5,looping,looping,2,tool_check_inbox,55,
run_1771290183_42,56,True,5,looping,looping,3,tool_check_inbox,54,
run_1771297683_42,56,True,5,looping,looping,2,tool_check_inbox,55,
run_1771284732_42,56,True,5,looping,looping,1,tool_check_inbox,56,
run_1771295664_42,56,True,5,looping,looping,2,tool_check_inbox,54,
run_1771283370_42,47,True,5,looping,looping,3,tool_check_inbox,45,
run_1771281224_42,43,True,7,looping,looping,4,tool_check_inbox,32,
run_1771279805_42,168,True,5,looping,looping,4,tool_check_inbox,161,
run_1771295953_42,70,True,5,looping,looping,3,tool_check_inbox,66,
run_1771284388_42,56,True,5,looping,looping,1,tool_check_inbox,56,
run_1771296044_42,56,True,5,looping,looping,3,tool_check_inbox,54,
run_1771285081_42,6,True,5,looping,looping,2,tool_check_inbox,5,
run_1771292568_42,56,True,5,looping,looping,1,tool_check_inbox,56,
run_1771285201_42,56,True,5,looping,looping,1,tool_check_inbox,56,
run_1771298022_42,56,True,5,looping,looping,1,tool_check_inbox,56,
run_1771294165_42,116,True,5,looping,looping,3,tool_check_inbox,110,
