n_tool_calls,unique_tools,most_common_tool,most_common_tool_pct,switching_rate,max_repetition_streak,run_id,crashed,crash_type
168,3,tool_check_inbox,0.9702380952380952,0.059880239520958084,57,1771279366_42,True,looping
112,3,tool_check_inbox,0.9732142857142857,0.05405405405405406,53,1771279402_42,True,looping
46,4,tool_check_inbox,0.782608695652174,0.4,10,1771279448_42,True,looping
6,2,tool_check_inbox,0.6666666666666666,0.6,3,1771279476_42,False,
32,4,tool_check_inbox,0.71875,0.5161290322580645,8,1771279550_42,True,looping
22,3,tool_check_inbox,0.7272727272727273,0.3333333333333333,8,1771279556_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771279599_42,True,looping
5,2,tool_check_inbox,0.8,0.5,3,1771279642_42,False,
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,40,1771279673_42,True,looping
148,3,tool_check_inbox,0.9864864864864865,0.027210884353741496,99,1771279719_42,True,looping
168,4,tool_check_inbox,0.9583333333333334,0.08383233532934131,52,1771279805_42,True,looping
47,2,tool_check_inbox,0.9787234042553191,0.043478260869565216,40,1771279844_42,True,looping
13,4,tool_check_inbox,0.6923076923076923,0.5,4,1771279853_42,True,looping
35,4,tool_check_inbox,0.6,0.5882352941176471,5,1771279883_42,True,looping
123,3,tool_check_inbox,0.9349593495934959,0.12295081967213115,38,1771279927_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771280030_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771280218_42,True,looping
112,3,tool_check_inbox,0.9732142857142857,0.05405405405405406,74,1771280222_42,True,looping
79,4,tool_check_inbox,0.9367088607594937,0.1282051282051282,23,1771280272_42,True,looping
59,3,tool_check_inbox,0.9661016949152542,0.06896551724137931,50,1771280278_42,True,looping
24,3,tool_check_inbox,0.875,0.2608695652173913,8,1771280301_42,True,looping
36,4,tool_check_inbox,0.7222222222222222,0.5142857142857142,6,1771280303_42,True,looping
7,2,tool_check_inbox,0.8571428571428571,0.3333333333333333,4,1771280341_42,True,looping
56,2,tool_check_inbox,0.9642857142857143,0.07272727272727272,35,1771280376_42,True,looping
46,4,tool_check_inbox,0.6956521739130435,0.5111111111111111,7,1771280378_42,False,
